<MULTI_LINE_COMMENT, 18>
<PUNCTUATOR, 17, #>
<IDENTIFIER, 11, include>
<STRING_LITERAL, 16, "stdio.h">
<PUNCTUATOR, 17, #>
<IDENTIFIER, 11, define>
<IDENTIFIER, 11, ASSGN>
<INTEGER_CONSTANT, 12, 3>
<KEYWORD, 10, struct>
<IDENTIFIER, 11, student>
<PUNCTUATOR, 17, {>
<KEYWORD, 10, int>
<IDENTIFIER, 11, roll>
<PUNCTUATOR, 17, ;>
<KEYWORD, 10, char>
<IDENTIFIER, 11, name>
<PUNCTUATOR, 17, [>
<INTEGER_CONSTANT, 12, 30>
<PUNCTUATOR, 17, ]>
<PUNCTUATOR, 17, ;>
<PUNCTUATOR, 17, }>
<PUNCTUATOR, 17, ;>
<KEYWORD, 10, void>
<IDENTIFIER, 11, main>
<PUNCTUATOR, 17, (>
<PUNCTUATOR, 17, )>
<PUNCTUATOR, 17, {>
<KEYWORD, 10, char>
<IDENTIFIER, 11, c>
<PUNCTUATOR, 17, [>
<INTEGER_CONSTANT, 12, 40>
<PUNCTUATOR, 17, ]>
<PUNCTUATOR, 17, =>
<STRING_LITERAL, 16, "//checking comment inside string">
<PUNCTUATOR, 17, ;>
<KEYWORD, 10, char>
<IDENTIFIER, 11, c>
<PUNCTUATOR, 17, [>
<INTEGER_CONSTANT, 12, 40>
<PUNCTUATOR, 17, ]>
<PUNCTUATOR, 17, =>
<INVALID_TOKEN, 20, ">
<INVALID_TOKEN, 20, \>
<IDENTIFIER, 11, checking>
<IDENTIFIER, 11, comment>
<IDENTIFIER, 11, inside>
<IDENTIFIER, 11, string>
<INVALID_TOKEN, 20, ">
<PUNCTUATOR, 17, ;>
<KEYWORD, 10, float>
<IDENTIFIER, 11, f>
<PUNCTUATOR, 17, =>
<FLOAT_CONSTANT, 13, .87e-03>
<PUNCTUATOR, 17, ;>
<KEYWORD, 10, int>
<IDENTIFIER, 11, n>
<PUNCTUATOR, 17, =>
<INTEGER_CONSTANT, 12, 32>
<PUNCTUATOR, 17, ;>
<KEYWORD, 10, double>
<IDENTIFIER, 11, d>
<PUNCTUATOR, 17, =>
<FLOAT_CONSTANT, 13, 25.>
<PUNCTUATOR, 17, ;>
<KEYWORD, 10, float>
<IDENTIFIER, 11, t>
<PUNCTUATOR, 17, =>
<FLOAT_CONSTANT, 13, 43.46>
<PUNCTUATOR, 17, ;>
<KEYWORD, 10, char>
<IDENTIFIER, 11, ch>
<PUNCTUATOR, 17, =>
<CHARACTER_CONSTANT, 15, 'ascii'>
<PUNCTUATOR, 17, ;>
<KEYWORD, 10, char>
<IDENTIFIER, 11, buff>
<PUNCTUATOR, 17, [>
<INTEGER_CONSTANT, 12, 30>
<PUNCTUATOR, 17, ]>
<PUNCTUATOR, 17, =>
<STRING_LITERAL, 16, "Here is a good one!\n\t">
<PUNCTUATOR, 17, ;>
<KEYWORD, 10, char>
<IDENTIFIER, 11, arr>
<PUNCTUATOR, 17, [>
<INTEGER_CONSTANT, 12, 4>
<PUNCTUATOR, 17, ]>
<PUNCTUATOR, 17, =>
<STRING_LITERAL, 16, "">
<PUNCTUATOR, 17, ;>
<MULTI_LINE_COMMENT, 18>
<KEYWORD, 10, do>
<KEYWORD, 10, while>
<PUNCTUATOR, 17, {>
<IDENTIFIER, 11, n>
<PUNCTUATOR, 17, -=>
<INTEGER_CONSTANT, 12, 1>
<PUNCTUATOR, 17, ;>
<PUNCTUATOR, 17, }>
<PUNCTUATOR, 17, (>
<IDENTIFIER, 11, n>
<PUNCTUATOR, 17, >>
<INTEGER_CONSTANT, 12, 1>
<PUNCTUATOR, 17, )>
<SINGLE_LINE_COMMENT, 19>
<KEYWORD, 10, if>
<PUNCTUATOR, 17, (>
<IDENTIFIER, 11, t>
<PUNCTUATOR, 17, <=>
<INTEGER_CONSTANT, 12, 30>
<PUNCTUATOR, 17, )>
<IDENTIFIER, 11, n>
<PUNCTUATOR, 17, ++>
<PUNCTUATOR, 17, ;>
<KEYWORD, 10, else>
<IDENTIFIER, 11, n>
<PUNCTUATOR, 17, -->
<PUNCTUATOR, 17, ;>
<IDENTIFIER, 11, printf>
<PUNCTUATOR, 17, (>
<STRING_LITERAL, 16, "print: %d\n">
<PUNCTUATOR, 17, ,>
<IDENTIFIER, 11, n>
<PUNCTUATOR, 17, +>
<INTEGER_CONSTANT, 12, 1>
<PUNCTUATOR, 17, )>
<PUNCTUATOR, 17, ;>
<PUNCTUATOR, 17, }>
